"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create new product","ERROR","2023-01-03T22:06:38.213Z[Europe/London]","0.0","11.1"
"Product CRUD test","Getting the product information with Name:","ERROR","2023-01-03T22:06:49.515Z[Europe/London]","0.0","4.3"
"Product CRUD test","Updating product information and verify the updated information","ERROR","2023-01-03T22:06:53.834Z[Europe/London]","0.0","0.08"
"Product CRUD test","Deleting product with id and verify that user is deleted","ERROR","2023-01-03T22:06:53.915Z[Europe/London]","0.0","0.03"
