"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test","This will create new  store","ERROR","2023-01-03T22:06:56.431Z[Europe/London]","0.0","4.17"
"Store CRUD test","Getting the store information with Name:","ERROR","2023-01-03T22:07:00.608Z[Europe/London]","0.0","4.12"
"Store CRUD test","Updating store information and verify the updated information","ERROR","2023-01-03T22:07:04.731Z[Europe/London]","0.0","0.03"
"Store CRUD test","Deleting store with id and verify that user is deleted","ERROR","2023-01-03T22:07:04.761Z[Europe/London]","0.0","0.04"
